,run,test_subject_id,src_risk,few_shot_risk,trg_risk
0,2,[ 3  6 19 23 26 27 32 35 45 50],0.8304,0,0.8304
1,mean,-,0.8304,0.0000,0.8304
2,std,-,nan,nan,nan
