,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,3,[ 3  6 19 23 26 27 32 35 45 50],0.8295,0.8340,0.8341,0.9625
1,mean,-,0.8295,0.8340,0.8341,0.9625
2,std,-,nan,nan,nan,nan
