,run,test_subject_id,src_risk,few_shot_risk,trg_risk
0,3,[ 3  6 19 23 26 27 32 35 45 50],2.3485,0,2.3485
1,mean,-,2.3485,0.0000,2.3485
2,std,-,nan,nan,nan
