,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,2,[206 211 216],0.7917,0.8125,0.7822,0.9141
1,mean,-,0.7917,0.8125,0.7822,0.9141
2,std,-,nan,nan,nan,nan
