,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,0,[204 206 213],0.9167,0.8167,0.8390,0.8542
1,mean,-,0.9167,0.8167,0.8390,0.8542
2,std,-,nan,nan,nan,nan
