,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,4,['R1'],0.9167,0.9167,0.9161,0.9583
1,mean,-,0.9167,0.9167,0.9161,0.9583
2,std,-,nan,nan,nan,nan
