,run,test_subject_id,src_risk,few_shot_risk,trg_risk
0,1,[ 3  6 19 23 26 27 32 35 45 50],3.4903,0,3.4903
1,mean,-,3.4903,0.0000,3.4903
2,std,-,nan,nan,nan
