,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,3,['R1'],0.6429,0.6429,0.3913,0.0000
1,mean,-,0.6429,0.6429,0.3913,0.0000
2,std,-,nan,nan,nan,nan
