,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,3,[205 210 212],0.7500,0.5417,0.5366,0.6484
1,mean,-,0.7500,0.5417,0.5366,0.6484
2,std,-,nan,nan,nan,nan
