,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,4,['R1'],0.5000,0.5000,0.1667,0.0000
1,mean,-,0.5000,0.5000,0.1667,0.0000
2,std,-,nan,nan,nan,nan
