,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,4,['R1'],0.9167,0.9167,0.4783,0.0000
1,mean,-,0.9167,0.9167,0.4783,0.0000
2,std,-,nan,nan,nan,nan
