,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,1,['R1'],0.6667,0.6571,0.3798,0.3679
1,mean,-,0.6667,0.6571,0.3798,0.3679
2,std,-,nan,nan,nan,nan
