,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,1,[202 204 212],0.7656,0.7544,0.7149,0.8381
1,mean,-,0.7656,0.7544,0.7149,0.8381
2,std,-,nan,nan,nan,nan
