,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,1,[8],0.9375,0.9375,0.9373,0.8906
1,mean,-,0.9375,0.9375,0.9373,0.8906
2,std,-,nan,nan,nan,nan
