,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,3,[202 204 212],0.9062,0.9143,0.8750,0.9814
1,mean,-,0.9062,0.9143,0.8750,0.9814
2,std,-,nan,nan,nan,nan
