,run,test_subject_id,src_risk,few_shot_risk,trg_risk
0,3,[ 6  9 10 12 17 25 27 35 43 49],4.6658,0,4.5952
1,mean,-,4.6658,0.0000,4.5952
2,std,-,nan,nan,nan
