,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,1,['R1'],0.5833,0.5571,0.5556,0.6286
1,mean,-,0.5833,0.5571,0.5556,0.6286
2,std,-,nan,nan,nan,nan
