,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,1,[9],0.9500,0.9500,0.9499,1.0000
1,mean,-,0.9500,0.9500,0.9499,1.0000
2,std,-,nan,nan,nan,nan
