,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,1,[9],0.6250,0.6250,0.6190,0.7969
1,mean,-,0.6250,0.6250,0.6190,0.7969
2,std,-,nan,nan,nan,nan
