,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,2,[202 204 212],0.7969,0.7054,0.7102,0.9320
1,mean,-,0.7969,0.7054,0.7102,0.9320
2,std,-,nan,nan,nan,nan
