,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,2,['R1'],0.7500,0.7500,0.7483,0.8194
1,mean,-,0.7500,0.7500,0.7483,0.8194
2,std,-,nan,nan,nan,nan
