,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,2,[8],0.9375,0.9375,0.9373,0.9844
1,mean,-,0.9375,0.9375,0.9373,0.9844
2,std,-,nan,nan,nan,nan
