,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,4,[ 6  9 10 12 17 25 27 35 43 49],0.8444,0.8069,0.8049,0.4507
1,mean,-,0.8444,0.8069,0.8049,0.4507
2,std,-,nan,nan,nan,nan
