,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,1,[ 6  9 10 12 17 25 27 35 43 49],0.8611,0.8669,0.8388,0.4597
1,mean,-,0.8611,0.8669,0.8388,0.4597
2,std,-,nan,nan,nan,nan
