,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,1,[ 1 10],0.8056,0.8056,0.8017,0.8387
1,mean,-,0.8056,0.8056,0.8017,0.8387
2,std,-,nan,nan,nan,nan
