,run,test_subject_id,src_risk,few_shot_risk,trg_risk
0,1,[ 6  9 10 12 17 25 27 35 43 49],2.4962,0,2.5278
1,mean,-,2.4962,0.0000,2.5278
2,std,-,nan,nan,nan
