,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,4,[206 211 216],0.4583,0.5667,0.4080,0.8667
1,mean,-,0.4583,0.5667,0.4080,0.8667
2,std,-,nan,nan,nan,nan
