,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,1,[9],0.5625,0.5625,0.5608,0.7500
1,mean,-,0.5625,0.5625,0.5608,0.7500
2,std,-,nan,nan,nan,nan
