,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,2,[5],0.8500,0.8500,0.8496,0.9400
1,mean,-,0.8500,0.8500,0.8496,0.9400
2,std,-,nan,nan,nan,nan
