,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,1,[5],0.7500,0.7500,0.7333,0.9800
1,mean,-,0.7500,0.7500,0.7333,0.9800
2,std,-,nan,nan,nan,nan
