,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,0,[201 209 213],0.6250,0.5000,0.3846,0.7833
1,mean,-,0.6250,0.5000,0.3846,0.7833
2,std,-,nan,nan,nan,nan
