,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,0,[ 3  6 19 23 26 27 32 35 45 50],0.8182,0.8249,0.8251,0.9558
1,mean,-,0.8182,0.8249,0.8251,0.9558
2,std,-,nan,nan,nan,nan
