,run,test_subject_id,src_risk,few_shot_risk,trg_risk
0,0,[ 3  6 19 23 26 27 32 35 45 50],3.9803,0,3.9803
1,mean,-,3.9803,0.0000,3.9803
2,std,-,nan,nan,nan
