,run,test_subject_id,src_risk,few_shot_risk,trg_risk
0,2,[ 3  6 19 23 26 27 32 35 45 50],3.3026,0,3.3026
1,mean,-,3.3026,0.0000,3.3026
2,std,-,nan,nan,nan
