,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,1,['R1'],0.7500,0.7500,0.5202,0.4444
1,mean,-,0.7500,0.7500,0.5202,0.4444
2,std,-,nan,nan,nan,nan
