,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,4,[204 206 213],0.8611,0.7833,0.7653,0.9111
1,mean,-,0.8611,0.7833,0.7653,0.9111
2,std,-,nan,nan,nan,nan
