,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,4,['R1'],0.7500,0.7571,0.7483,0.8571
1,mean,-,0.7500,0.7571,0.7483,0.8571
2,std,-,nan,nan,nan,nan
