,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,1,['R1'],0.5714,0.5714,0.1818,0.0000
1,mean,-,0.5714,0.5714,0.1818,0.0000
2,std,-,nan,nan,nan,nan
