,run,test_subject_id,src_risk,few_shot_risk,trg_risk
0,0,[ 6  9 10 12 17 25 27 35 43 49],1.2181,0,1.2181
1,mean,-,1.2181,0.0000,1.2181
2,std,-,nan,nan,nan
