,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,2,[8],1.0000,1.0000,1.0000,1.0000
1,mean,-,1.0000,1.0000,1.0000,1.0000
2,std,-,nan,nan,nan,nan
