,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,1,[201 203 213],0.3929,0.5522,0.3858,0.7065
1,mean,-,0.3929,0.5522,0.3858,0.7065
2,std,-,nan,nan,nan,nan
