,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,0,[201 203 213],0.7500,0.7696,0.6813,0.8870
1,mean,-,0.7500,0.7696,0.6813,0.8870
2,std,-,nan,nan,nan,nan
