,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,0,['R1'],0.8571,0.8571,0.3077,0.0000
1,mean,-,0.8571,0.8571,0.3077,0.0000
2,std,-,nan,nan,nan,nan
