,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,3,[205 210 212],0.6786,0.3958,0.4043,0.5521
1,mean,-,0.6786,0.3958,0.4043,0.5521
2,std,-,nan,nan,nan,nan
