,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,2,[205 210 212],0.7143,0.4000,0.4167,0.3733
1,mean,-,0.7143,0.4000,0.4167,0.3733
2,std,-,nan,nan,nan,nan
