,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,4,[9],0.6250,0.6250,0.5636,0.9961
1,mean,-,0.6250,0.6250,0.5636,0.9961
2,std,-,nan,nan,nan,nan
