,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,1,[ 3  6 19 23 26 27 32 35 45 50],0.8364,0.6908,0.7137,0.3306
1,mean,-,0.8364,0.6908,0.7137,0.3306
2,std,-,nan,nan,nan,nan
