,run,test_subject_id,src_risk,few_shot_risk,trg_risk
0,0,[ 6  9 10 12 17 25 27 35 43 49],0.7350,0,0.7350
1,mean,-,0.7350,0.0000,0.7350
2,std,-,nan,nan,nan
