,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,3,['R1'],0.5833,0.5857,0.3485,0.3857
1,mean,-,0.5833,0.5857,0.3485,0.3857
2,std,-,nan,nan,nan,nan
