,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,0,['R1'],0.9167,0.6667,0.6410,0.7045
1,mean,-,0.9167,0.6667,0.6410,0.7045
2,std,-,nan,nan,nan,nan
