,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,1,[201 209 213],0.8125,0.7500,0.7681,0.8833
1,mean,-,0.8125,0.7500,0.7681,0.8833
2,std,-,nan,nan,nan,nan
