,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,4,[ 6  9 10 12 17 25 27 35 43 49],0.8611,0.8208,0.8247,0.4299
1,mean,-,0.8611,0.8208,0.8247,0.4299
2,std,-,nan,nan,nan,nan
