,run,test_subject_id,acc,bal_acc,f1_score,auroc
0,4,[ 9 10],1.0000,1.0000,1.0000,1.0000
1,mean,-,1.0000,1.0000,1.0000,1.0000
2,std,-,nan,nan,nan,nan
